Date,Interest Rates (MPR),Interest Rates (AL),Total Liquidity/M2+,Private Sector Credit,Exchange Rates ,Exchange Rates,Commodity Prices,Commodity Prices ,Commodity Prices,CPI,Inflation
2017-09-01,21.0,26.7,59491.10,31300.00,4.40,4.39,1970.30,55.20,1315.80,72.40,12.20
2017-10-01,21.0,26.7,63669.20,33200.00,4.38,4.38,2085.40,57.50,1280.60,73.00,11.60
2017-11-01,20.0,26.4,63696.50,32800.00,4.40,4.41,2123.70,62.90,1282.40,73.70,11.70
2017-12-01,20.0,26.2,66063.40,34000.00,4.41,4.42,1904.60,64.30,1266.60,74.50,11.80
2018-01-01,20.0,25.6,65624.30,33500.00,4.42,4.42,1940.52,69.09,1331.70,75.50,10.30
2018-02-01,20.0,25.4,65391.70,31500.00,4.42,4.42,2109.42,65.70,1332.41,75.70,9.90
2018-03-01,18.0,25.5,67211.70,31700.00,4.41,4.40,2498.95,66.68,1325.71,76.00,9.00
2018-04-01,18.0,25.0,68255.70,32600.00,4.41,4.41,2663.52,71.67,1334.88,76.50,8.00
2018-05-01,17.0,24.7,69467.40,33200.00,4.42,4.42,2692.91,77.06,1303.03,76.90,7.80
2018-06-01,17.0,24.1,68728.80,34400.00,4.46,4.52,2435.71,75.94,1281.08,77.40,7.50
2018-07-01,17.0,23.9,71413.80,34800.00,4.65,4.69,2373.05,75.04,1238.30,77.70,7.20
2018-08-01,17.0,23.7,73665.70,31200.00,4.71,4.72,2208.39,73.85,1200.94,77.90,7.60
2018-09-01,17.0,24.0,73821.70,32400.00,4.76,4.78,2230.42,79.09,1198.14,77.90,7.70
2018-10-01,17.0,23.9,74641.10,32800.00,4.79,4.79,2138.91,80.63,1213.97,78.20,7.00
2018-11-01,17.0,23.8,75899.90,32600.00,4.79,4.81,2226.81,65.96,1220.81,78.40,6.30
2018-12-01,17.0,24.0,76380.40,33400.00,4.81,4.82,2256.25,57.67,1251.11,78.80,5.80
2019-01-01,16.0,23.7,78580.20,31900.00,4.89,4.95,2318.19,60.23,1292.09,79.90,5.90
2019-02-01,16.0,23.5,80115.30,33100.00,5.02,5.18,2273.84,64.50,1319.95,80.30,6.10
2019-03-01,16.0,23.3,81837.20,33600.00,5.18,5.08,2202.48,67.05,1300.72,80.90,6.50
2019-04-01,16.0,23.1,80948.20,34000.00,5.09,5.09,2370.43,71.66,1286.24,81.40,6.50
2019-05-01,16.0,23.1,81720.20,34500.00,5.11,5.20,2365.77,70.30,1283.37,82.30,7.00
2019-06-01,16.0,23.1,83787.10,35000.00,5.24,5.26,2467.10,63.05,1359.68,83.20,7.50
2019-07-01,16.0,24.1,81991.60,34600.00,5.26,5.26,2456.86,64.19,1414.66,83.50,7.50
2019-08-01,16.0,24.0,82382.00,35100.00,5.27,5.28,2238.59,59.47,1501.01,83.90,7.70
2019-09-01,16.0,23.7,85873.10,36100.00,5.31,5.32,2375.80,62.29,1508.42,83.80,7.50
2019-10-01,16.0,23.7,86834.80,37100.00,5.32,5.34,2474.13,59.63,1494.31,84.10,7.60
2019-11-01,16.0,23.5,89750.10,38300.00,5.39,5.53,2589.55,62.71,1471.15,84.70,8.00
2019-12-01,16.0,23.6,92975.50,39400.00,5.54,5.53,2518.38,65.17,1481.33,84.90,7.80
2020-01-01,16.0,23.1,91907.40,40459.41,5.53,5.47,2673.09,63.67,1560.74,86.10,7.70
2020-02-01,16.0,23.4,91762.70,40247.63,5.32,5.29,2825.90,55.53,1596.81,86.50,7.70
2020-03-01,14.5,23.4,92905.10,40219.19,5.36,5.44,2407.05,33.73,1590.59,87.20,7.70
2020-04-01,14.5,22.4,94556.00,40049.94,5.52,5.60,2324.29,26.63,1681.01,90.00,10.50
2020-05-01,14.5,22.1,98540.00,40194.15,5.61,5.62,2402.90,32.11,1716.82,91.60,11.20
2020-06-01,14.5,22.0,100498.90,40036.79,5.64,5.67,2324.82,40.77,1734.69,92.50,11.10
